chunk_id,band_id,start_mhz,end_mhz,behavior_category,site,split,horizon,model,mae_db,rmse_db
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,1,vanillalstm,2.912839651107788,4.280274391174316
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.03563326224684715,0.06621072441339493
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,1,vanillalstm,2.616987705230713,3.6370203495025635
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.401464581489563,1.8854731321334839
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,1,vanillalstm,2.1920135021209717,2.8298490047454834
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.3588706254959106,1.8976224660873413
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.055624496191740036,0.2175532579421997
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.3528636693954468,1.7908499240875244
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.3739603757858276,1.7926784753799438
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,1,vanillalstm,1.315254807472229,1.7043424844741821
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,1,vanillalstm,0.928000271320343,1.4647961854934692
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,1,vanillalstm,1.8072162866592407,2.495944023132324
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,1,vanillalstm,0.8468504548072815,1.2590032815933228
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,1,vanillalstm,5.408827304840088,7.553569793701172
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.019323838874697685,0.027993064373731613
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,1,vanillalstm,0.06848524510860443,0.09408283233642578
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.03184894099831581,0.2207668572664261
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,5,vanillalstm,2.9156525135040283,4.282782077789307
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.03562239184975624,0.06618677824735641
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,5,vanillalstm,2.6203620433807373,3.6353583335876465
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.3886116743087769,1.8726575374603271
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,5,vanillalstm,2.226746082305908,2.8740286827087402
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.363678216934204,1.9039033651351929
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.056042011827230453,0.2182644009590149
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.3598078489303589,1.7959434986114502
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.3802727460861206,1.7983834743499756
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,5,vanillalstm,1.3173472881317139,1.7051640748977661
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,5,vanillalstm,0.9289519786834717,1.4649195671081543
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,5,vanillalstm,1.8062716722488403,2.494154453277588
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,5,vanillalstm,0.8488433361053467,1.2592628002166748
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,5,vanillalstm,5.407762050628662,7.552762031555176
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.01927867904305458,0.027878837659955025
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,5,vanillalstm,0.06832966953516006,0.09373567253351212
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.03179354593157768,0.22076551616191864
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,15,vanillalstm,2.940457582473755,4.303835391998291
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,15,vanillalstm,0.03555678948760033,0.06608615070581436
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,15,vanillalstm,2.6493866443634033,3.639037847518921
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,15,vanillalstm,1.326150894165039,1.8080723285675049
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,15,vanillalstm,2.415383815765381,3.1236319541931152
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,15,vanillalstm,1.3782780170440674,1.9188364744186401
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,15,vanillalstm,0.05804652348160744,0.22165894508361816
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,15,vanillalstm,1.392541527748108,1.8193285465240479
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,15,vanillalstm,1.416074514389038,1.8290317058563232
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,15,vanillalstm,1.3360741138458252,1.7136521339416504
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,15,vanillalstm,0.9410118460655212,1.4680405855178833
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,15,vanillalstm,1.8067622184753418,2.4805827140808105
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,15,vanillalstm,0.8576199412345886,1.2598901987075806
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,15,vanillalstm,5.407525062561035,7.5585808753967285
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,15,vanillalstm,0.019357001408934593,0.027776477858424187
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,15,vanillalstm,0.06820890307426453,0.09298676252365112
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,15,vanillalstm,0.03155365586280823,0.220879927277565
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,60,vanillalstm,3.0491855144500732,4.39489221572876
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.036857977509498596,0.0669628456234932
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,3.0100386142730713,3.984133243560791
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.2822989225387573,1.7658774852752686
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,60,vanillalstm,2.870692729949951,3.7128679752349854
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.5535063743591309,2.10634446144104
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.06678809225559235,0.24131125211715698
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.5558629035949707,1.9722166061401367
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,60,vanillalstm,1.6694368124008179,2.084136724472046
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,60,vanillalstm,1.5674494504928589,1.9287002086639404
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,60,vanillalstm,1.087623953819275,1.6074734926223755
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,1.9115506410598755,2.517906904220581
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,60,vanillalstm,0.9860990643501282,1.3592702150344849
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,60,vanillalstm,5.5149946212768555,7.577345371246338
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.020326755940914154,0.028512148186564445
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,60,vanillalstm,0.07508715242147446,0.09796788543462753
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,60,vanillalstm,0.03252806141972542,0.22116844356060028
