run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20220208T1748Z,87_6020,1,87.5,109.5,23
20220208T1748Z,87_6020,2,110.5,119.5,10
20220208T1748Z,87_6020,3,120.5,139.5,20
20220208T1748Z,87_6020,4,140.5,149.5,10
20220208T1748Z,87_6020,5,150.5,159.5,10
20220208T1748Z,87_6020,6,160.5,189.5,30
20220208T1748Z,87_6020,7,190.5,249.5,60
20220208T1748Z,87_6020,8,250.5,259.5,10
20220208T1748Z,87_6020,9,260.5,269.5,10
20220208T1748Z,87_6020,10,270.5,319.5,50
20220208T1748Z,87_6020,11,320.5,429.5,110
20220208T1748Z,87_6020,12,430.5,439.5,10
20220208T1748Z,87_6020,13,440.5,469.5,30
20220208T1748Z,87_6020,14,470.5,479.5,10
20220208T1748Z,87_6020,15,480.5,489.5,10
20220208T1748Z,87_6020,16,490.5,499.5,10
20220208T1748Z,87_6020,17,500.5,514.5,15
20220208T1748Z,87_6020,18,515.5,579.5,65
20220208T1748Z,87_6020,19,580.5,599.5,20
20220208T1748Z,87_6020,20,600.5,659.5,60
20220208T1748Z,87_6020,21,660.5,669.5,10
20220208T1748Z,87_6020,22,670.5,709.5,40
20220208T1748Z,87_6020,23,710.5,779.5,70
20220208T1748Z,87_6020,24,780.5,849.5,70
20220208T1748Z,87_6020,25,850.5,899.5,50
20220208T1748Z,87_6020,26,900.5,929.5,30
20220208T1748Z,87_6020,27,930.5,939.5,10
20220208T1748Z,87_6020,28,940.5,1929.5,990
20220208T1748Z,87_6020,29,1930.5,1999.5,70
20220208T1748Z,87_6020,30,2000.5,2109.5,110
20220208T1748Z,87_6020,31,2110.5,2151.5,42
20220208T1748Z,87_6020,32,2152.5,2157.5,6
20220208T1748Z,87_6020,33,2158.5,2165.5,8
20220208T1748Z,87_6020,34,2166.5,2179.5,14
20220208T1748Z,87_6020,35,2180.5,2322.5,143
20220208T1748Z,87_6020,36,2323.5,2328.5,6
20220208T1748Z,87_6020,37,2329.5,2339.5,11
20220208T1748Z,87_6020,38,2340.5,2349.5,10
20220208T1748Z,87_6020,39,2350.5,2509.5,160
20220208T1748Z,87_6020,40,2510.5,2549.5,40
20220208T1748Z,87_6020,41,2550.5,2569.5,20
20220208T1748Z,87_6020,42,2570.5,2669.5,100
20220208T1748Z,87_6020,43,2670.5,2689.5,20
20220208T1748Z,87_6020,44,2690.5,3989.5,1300
20220208T1748Z,87_6020,45,3990.5,4979.5,990
20220208T1748Z,87_6020,46,4980.5,4999.5,20
20220208T1748Z,87_6020,47,5000.5,5999.5,1000
