run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20220208T1757Z,87_6020,1,87.5,112.5,26
20220208T1757Z,87_6020,2,113.5,191.5,79
20220208T1757Z,87_6020,3,192.5,240.5,49
20220208T1757Z,87_6020,4,241.5,267.5,27
20220208T1757Z,87_6020,5,268.5,499.5,232
20220208T1757Z,87_6020,6,500.5,589.5,90
20220208T1757Z,87_6020,7,590.5,710.5,121
20220208T1757Z,87_6020,8,711.5,836.5,126
20220208T1757Z,87_6020,9,837.5,893.5,57
20220208T1757Z,87_6020,10,894.5,956.5,63
20220208T1757Z,87_6020,11,957.5,1930.5,974
20220208T1757Z,87_6020,12,1931.5,1994.5,64
20220208T1757Z,87_6020,13,1995.5,2109.5,115
20220208T1757Z,87_6020,14,2110.5,2179.5,70
20220208T1757Z,87_6020,15,2180.5,2239.5,60
20220208T1757Z,87_6020,16,2240.5,2249.5,10
20220208T1757Z,87_6020,17,2250.5,2329.5,80
20220208T1757Z,87_6020,18,2330.5,2369.5,40
20220208T1757Z,87_6020,19,2370.5,2399.5,30
20220208T1757Z,87_6020,20,2400.5,2479.5,80
20220208T1757Z,87_6020,21,2480.5,2509.5,30
20220208T1757Z,87_6020,22,2510.5,2559.5,50
20220208T1757Z,87_6020,23,2560.5,3739.5,1180
20220208T1757Z,87_6020,24,3740.5,3759.5,20
20220208T1757Z,87_6020,25,3760.5,3999.5,240
20220208T1757Z,87_6020,26,4000.5,6019.5,2020
