run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20260702T1920Z,600_800,1,600.5,601.5,2
20260702T1920Z,600_800,2,602.5,607.5,6
20260702T1920Z,600_800,3,608.5,609.5,2
20260702T1920Z,600_800,4,610.5,621.5,12
20260702T1920Z,600_800,5,622.5,626.5,5
20260702T1920Z,600_800,6,627.5,641.5,15
20260702T1920Z,600_800,7,642.5,655.5,14
20260702T1920Z,600_800,8,656.5,675.5,20
20260702T1920Z,600_800,9,676.5,699.5,24
20260702T1920Z,600_800,10,700.5,710.5,11
20260702T1920Z,600_800,11,711.5,716.5,6
20260702T1920Z,600_800,12,717.5,721.5,5
20260702T1920Z,600_800,13,722.5,728.5,7
20260702T1920Z,600_800,14,729.5,734.5,6
20260702T1920Z,600_800,15,735.5,739.5,5
20260702T1920Z,600_800,16,740.5,744.5,5
20260702T1920Z,600_800,17,745.5,745.5,1
20260702T1920Z,600_800,18,746.5,755.5,10
20260702T1920Z,600_800,19,756.5,757.5,2
20260702T1920Z,600_800,20,758.5,767.5,10
20260702T1920Z,600_800,21,768.5,774.5,7
20260702T1920Z,600_800,22,775.5,784.5,10
20260702T1920Z,600_800,23,785.5,794.5,10
20260702T1920Z,600_800,24,795.5,799.5,5
20260702T1920Z,2400_2600,1,2400.5,2403.5,4
20260702T1920Z,2400_2600,2,2404.5,2419.5,16
20260702T1920Z,2400_2600,3,2420.5,2432.5,13
20260702T1920Z,2400_2600,4,2433.5,2456.5,24
20260702T1920Z,2400_2600,5,2457.5,2457.5,1
20260702T1920Z,2400_2600,6,2458.5,2500.5,43
20260702T1920Z,2400_2600,7,2501.5,2519.5,19
20260702T1920Z,2400_2600,8,2520.5,2584.5,65
20260702T1920Z,2400_2600,9,2585.5,2590.5,6
20260702T1920Z,2400_2600,10,2591.5,2599.5,9
