run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20260702T1920Z,600_800,1,600.5,601.5,2
20260702T1920Z,600_800,2,602.5,607.5,6
20260702T1920Z,600_800,3,608.5,623.5,16
20260702T1920Z,600_800,4,624.5,639.5,16
20260702T1920Z,600_800,5,640.5,645.5,6
20260702T1920Z,600_800,6,646.5,647.5,2
20260702T1920Z,600_800,7,648.5,657.5,10
20260702T1920Z,600_800,8,658.5,674.5,17
20260702T1920Z,600_800,9,675.5,716.5,42
20260702T1920Z,600_800,10,717.5,720.5,4
20260702T1920Z,600_800,11,721.5,728.5,8
20260702T1920Z,600_800,12,729.5,733.5,5
20260702T1920Z,600_800,13,734.5,739.5,6
20260702T1920Z,600_800,14,740.5,744.5,5
20260702T1920Z,600_800,15,745.5,745.5,1
20260702T1920Z,600_800,16,746.5,755.5,10
20260702T1920Z,600_800,17,756.5,757.5,2
20260702T1920Z,600_800,18,758.5,767.5,10
20260702T1920Z,600_800,19,768.5,771.5,4
20260702T1920Z,600_800,20,772.5,777.5,6
20260702T1920Z,600_800,21,778.5,789.5,12
20260702T1920Z,600_800,22,790.5,791.5,2
20260702T1920Z,600_800,23,792.5,799.5,8
20260702T1920Z,2400_2600,1,2400.5,2400.5,1
20260702T1920Z,2400_2600,2,2401.5,2402.5,2
20260702T1920Z,2400_2600,3,2403.5,2424.5,22
20260702T1920Z,2400_2600,4,2425.5,2427.5,3
20260702T1920Z,2400_2600,5,2428.5,2444.5,17
20260702T1920Z,2400_2600,6,2445.5,2454.5,10
20260702T1920Z,2400_2600,7,2455.5,2469.5,15
20260702T1920Z,2400_2600,8,2470.5,2478.5,9
20260702T1920Z,2400_2600,9,2479.5,2480.5,2
20260702T1920Z,2400_2600,10,2481.5,2500.5,20
20260702T1920Z,2400_2600,11,2501.5,2599.5,99
