run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20260618T1255Z,600_800,1,600.5,601.5,2
20260618T1255Z,600_800,2,601.5,622.5,22
20260618T1255Z,600_800,3,623.5,635.5,13
20260618T1255Z,600_800,4,636.5,641.5,6
20260618T1255Z,600_800,5,642.5,659.5,18
20260618T1255Z,600_800,6,660.5,671.5,12
20260618T1255Z,600_800,7,672.5,691.5,20
20260618T1255Z,600_800,8,692.5,700.5,9
20260618T1255Z,600_800,9,701.5,712.5,12
20260618T1255Z,600_800,10,713.5,730.5,18
20260618T1255Z,600_800,11,731.5,734.5,4
20260618T1255Z,600_800,12,735.5,739.5,5
20260618T1255Z,600_800,13,740.5,745.5,6
20260618T1255Z,600_800,14,746.5,756.5,11
20260618T1255Z,600_800,15,757.5,767.5,11
20260618T1255Z,600_800,16,768.5,772.5,5
20260618T1255Z,600_800,17,773.5,774.5,2
20260618T1255Z,600_800,18,775.5,777.5,3
20260618T1255Z,600_800,19,778.5,788.5,11
20260618T1255Z,600_800,20,789.5,794.5,6
20260618T1255Z,600_800,21,795.5,799.5,5
20260618T1255Z,2400_2600,1,2400.5,2423.5,24
20260618T1255Z,2400_2600,2,2424.5,2431.5,8
20260618T1255Z,2400_2600,3,2432.5,2500.5,69
20260618T1255Z,2400_2600,4,2501.5,2506.5,6
20260618T1255Z,2400_2600,5,2507.5,2513.5,7
20260618T1255Z,2400_2600,6,2514.5,2592.5,79
20260618T1255Z,2400_2600,7,2593.5,2599.5,7
20260618T1255Z,3500_3700,1,3500.5,3507.5,8
20260618T1255Z,3500_3700,2,3508.5,3518.5,11
20260618T1255Z,3500_3700,3,3519.5,3528.5,10
20260618T1255Z,3500_3700,4,3529.5,3553.5,25
20260618T1255Z,3500_3700,5,3554.5,3603.5,50
20260618T1255Z,3500_3700,6,3604.5,3642.5,39
20260618T1255Z,3500_3700,7,3643.5,3697.5,55
20260618T1255Z,3500_3700,8,3698.5,3699.5,2
20260702T1920Z,600_800,1,600.5,600.5,1
20260702T1920Z,600_800,2,601.5,622.5,22
20260702T1920Z,600_800,3,623.5,635.5,13
20260702T1920Z,600_800,4,636.5,640.5,5
20260702T1920Z,600_800,5,641.5,660.5,20
20260702T1920Z,600_800,6,661.5,674.5,14
20260702T1920Z,600_800,7,675.5,689.5,15
20260702T1920Z,600_800,8,690.5,700.5,11
20260702T1920Z,600_800,9,701.5,710.5,10
20260702T1920Z,600_800,10,711.5,712.5,2
20260702T1920Z,600_800,11,713.5,730.5,18
20260702T1920Z,600_800,12,731.5,735.5,5
20260702T1920Z,600_800,13,736.5,739.5,4
20260702T1920Z,600_800,14,740.5,745.5,6
20260702T1920Z,600_800,15,746.5,755.5,10
20260702T1920Z,600_800,16,756.5,757.5,2
20260702T1920Z,600_800,17,758.5,767.5,10
20260702T1920Z,600_800,18,768.5,772.5,5
20260702T1920Z,600_800,19,773.5,774.5,2
20260702T1920Z,600_800,20,775.5,777.5,3
20260702T1920Z,600_800,21,778.5,789.5,12
20260702T1920Z,600_800,22,790.5,794.5,5
20260702T1920Z,600_800,23,795.5,799.5,5
20260702T1920Z,2400_2600,1,2400.5,2424.5,25
20260702T1920Z,2400_2600,2,2425.5,2432.5,8
20260702T1920Z,2400_2600,3,2433.5,2500.5,68
20260702T1920Z,2400_2600,4,2501.5,2506.5,6
20260702T1920Z,2400_2600,5,2507.5,2513.5,7
20260702T1920Z,2400_2600,6,2514.5,2592.5,79
20260702T1920Z,2400_2600,7,2593.5,2599.5,7
