run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20260619T1815Z,600_800,1,600.5,616.5,17
20260619T1815Z,600_800,2,617.5,631.5,15
20260619T1815Z,600_800,3,632.5,649.5,18
20260619T1815Z,600_800,4,650.5,655.5,6
20260619T1815Z,600_800,5,656.5,656.5,1
20260619T1815Z,600_800,6,657.5,666.5,10
20260619T1815Z,600_800,7,667.5,699.5,33
20260619T1815Z,600_800,8,700.5,714.5,15
20260619T1815Z,600_800,9,715.5,728.5,14
20260619T1815Z,600_800,10,729.5,733.5,5
20260619T1815Z,600_800,11,734.5,745.5,12
20260619T1815Z,600_800,12,746.5,755.5,10
20260619T1815Z,600_800,13,756.5,799.5,44
20260619T1815Z,2400_2600,1,2400.5,2519.5,120
20260619T1815Z,2400_2600,2,2520.5,2567.5,48
20260619T1815Z,2400_2600,3,2568.5,2590.5,23
20260619T1815Z,2400_2600,4,2591.5,2599.5,9
20260619T1815Z,3500_3700,1,3500.5,3699.5,200
