band_id,start_mhz,end_mhz,bin_count,behavior_category,is_noise_floor
R1,600.5,607.5,8,mixed_activity,false
R2,608.5,621.5,14,noise_floor,true
R3,622.5,641.5,20,bursty_short_timescale,false
R4,642.5,646.5,5,mixed_activity,false
R5,647.5,655.5,9,diurnal_pattern,false
R6,656.5,675.5,20,mixed_activity,false
R7,676.5,690.5,15,noise_floor,true
R8,691.5,728.5,38,mixed_activity,false
R9,729.5,734.5,6,mixed_activity,false
R10,735.5,740.5,6,intermittent_occupancy,false
R11,741.5,745.5,5,intermittent_occupancy,false
R12,746.5,755.5,10,bursty_short_timescale,false
R13,756.5,768.5,13,diurnal_pattern,false
R14,769.5,776.5,8,bursty_short_timescale,false
R15,777.5,788.5,12,noise_floor,true
R16,789.5,794.5,6,mixed_activity,false
R17,795.5,799.5,5,noise_floor,true
