run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20260619T1816Z,600_800,1,600.5,607.5,8
20260619T1816Z,600_800,2,608.5,616.5,9
20260619T1816Z,600_800,3,617.5,631.5,15
20260619T1816Z,600_800,4,632.5,646.5,15
20260619T1816Z,600_800,5,647.5,656.5,10
20260619T1816Z,600_800,6,657.5,717.5,61
20260619T1816Z,600_800,7,718.5,727.5,10
20260619T1816Z,600_800,8,728.5,728.5,1
20260619T1816Z,600_800,9,729.5,743.5,15
20260619T1816Z,600_800,10,744.5,745.5,2
20260619T1816Z,600_800,11,746.5,755.5,10
20260619T1816Z,600_800,12,756.5,757.5,2
20260619T1816Z,600_800,13,758.5,767.5,10
20260619T1816Z,600_800,14,768.5,799.5,32
20260619T1816Z,2400_2600,1,2400.5,2519.5,120
20260619T1816Z,2400_2600,2,2520.5,2567.5,48
20260619T1816Z,2400_2600,3,2568.5,2590.5,23
20260619T1816Z,2400_2600,4,2591.5,2599.5,9
20260619T1816Z,3500_3700,1,3500.5,3699.5,200
