ar_variant,split,horizon,n_targets,mae_db,rmse_db
lp0,T4_validation,1,1440,0.6338,1.2686
lp0,T4_validation,15,1440,0.7326,1.4019
lp0,T4_validation,60,1440,0.9963,1.7892
lp1,T4_validation,1,1440,0.6326,1.2669
lp1,T4_validation,15,1440,0.7151,1.3771
lp1,T4_validation,60,1440,0.8983,1.6217
lp2,T4_validation,1,1440,0.6374,1.2710
lp2,T4_validation,15,1440,0.7164,1.3697
lp2,T4_validation,60,1440,0.8682,1.5714
lp0,T4_context_T6,1,1533,0.5999,1.2184
lp0,T4_context_T6,15,1533,0.6927,1.3316
lp0,T4_context_T6,60,1533,0.9290,1.6673
lp1,T4_context_T6,1,1533,0.6013,1.2180
lp1,T4_context_T6,15,1533,0.6854,1.3142
lp1,T4_context_T6,60,1533,0.8643,1.5252
lp2,T4_context_T6,1,1533,0.6110,1.2260
lp2,T4_context_T6,15,1533,0.7021,1.3253
lp2,T4_context_T6,60,1533,0.8815,1.5416
lp0,T6_only,1,781,0.5508,1.1779
lp0,T6_only,15,781,0.6324,1.2629
lp0,T6_only,60,781,0.8544,1.5496
lp1,T6_only,1,781,0.5538,1.1777
lp1,T6_only,15,781,0.6321,1.2512
lp1,T6_only,60,781,0.8130,1.4402
lp2,T6_only,1,781,0.5662,1.1854
lp2,T6_only,15,781,0.6581,1.2675
lp2,T6_only,60,781,0.8500,1.4776
