representation,model,checkpoint_seed,task_id,metric_scope,region_id,receiver,horizon,count,n_origins,mae_db,rmse_db,source_file,source_key,status
2d,autoformer_csa,40,new-bands-powder-2400-2600,target_vector,all,,1,,,0.6064533591270447,1.3029919862747192,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-2400-2600,target_vector,all,,15,,,0.6210149526596069,1.4118150472640991,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-2400-2600,target_vector,all,,60,,,0.8346622586250305,1.7997897863388062,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-3500-3700,target_vector,all,,1,,,0.111798770725727,0.2707100212574005,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-3500-3700,target_vector,all,,15,,,0.1018060073256492,0.2590271532535553,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-3500-3700,target_vector,all,,60,,,0.1158627718687057,0.2741188406944275,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-5725-5925,target_vector,all,,1,,,0.0850385352969169,0.1772237420082092,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-5725-5925,target_vector,all,,15,,,0.0801392719149589,0.1725537627935409,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-5725-5925,target_vector,all,,60,,,0.0855981335043907,0.1724046170711517,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-800-1000,target_vector,all,,1,,,0.8304934501647949,2.2463808059692383,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-800-1000,target_vector,all,,15,,,0.7201542854309082,2.282506465911865,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-bands-powder-800-1000,target_vector,all,,60,,,0.9620146751403807,2.467405319213867,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-point-powder-600-800,target_vector,all,,1,,,0.965640425682068,1.805406928062439,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-point-powder-600-800,target_vector,all,,15,,,1.0106836557388306,1.8686983585357664,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,40,new-point-powder-600-800,target_vector,all,,60,,,1.1479305028915403,2.072017192840576,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
