model,lp,split,split_start_utc,split_end_utc,n_targets,horizon,mae_db,rmse_db
LinearAR,2,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,1,0.6374059319496155,1.2709566354751587
LinearAR,2,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,15,0.7164090275764465,1.369676947593689
LinearAR,2,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,60,0.8682859539985657,1.571454644203186
STS-PredNet,2,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,1,0.7506299018859863,1.3891950845718384
STS-PredNet,2,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,15,0.8318217992782593,1.5273874998092651
STS-PredNet,2,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,60,0.9310616850852966,1.692831039428711
LinearAR,2,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,1533,1,0.6109982132911682,1.225980281829834
LinearAR,2,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,1533,15,0.702135443687439,1.3252826929092407
LinearAR,2,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,1533,60,0.8814718127250671,1.5415185689926147
STS-PredNet,2,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,1533,1,0.8948603868484497,1.5711488723754883
STS-PredNet,2,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,1533,15,1.0489307641983032,1.7910621166229248
STS-PredNet,2,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,1533,60,1.1962910890579224,1.994460940361023
LinearAR,2,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,781,1,0.566186785697937,1.1853508949279785
LinearAR,2,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,781,15,0.6580727696418762,1.2675036191940308
LinearAR,2,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,781,60,0.8500744700431824,1.4775564670562744
STS-PredNet,2,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,781,1,0.8411082625389099,1.4723891019821167
STS-PredNet,2,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,781,15,1.0547057390213013,1.8157085180282593
STS-PredNet,2,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,781,60,1.2296503782272339,2.0656330585479736
LinearAR,1,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,1,0.6326131224632263,1.2669297456741333
LinearAR,1,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,15,0.7151307463645935,1.3770852088928223
LinearAR,1,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,60,0.8982886075973511,1.62166166305542
STS-PredNet,1,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,1,0.7288182377815247,1.371098279953003
STS-PredNet,1,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,15,0.8401568531990051,1.5728782415390015
STS-PredNet,1,T4_validation,2026-07-02T02:24Z,2026-07-03T02:23Z,1440,60,1.0347226858139038,1.840327262878418
LinearAR,1,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,2567,1,0.5696399211883545,1.1898128986358643
LinearAR,1,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,2567,15,0.6546292304992676,1.2862430810928345
LinearAR,1,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,2567,60,0.8473837375640869,1.5126012563705444
STS-PredNet,1,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,2567,1,0.8056044578552246,1.4908087253570557
STS-PredNet,1,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,2567,15,0.9266242980957031,1.6850078105926514
STS-PredNet,1,T4_context_T6,2026-07-03T18:39Z,2026-07-06T08:38Z,2567,60,1.226960301399231,2.0720183849334717
LinearAR,1,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,2221,1,0.5533004403114319,1.174167275428772
LinearAR,1,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,2221,15,0.6380507946014404,1.2673423290252686
LinearAR,1,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,2221,60,0.8359161615371704,1.4951452016830444
STS-PredNet,1,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,2221,1,0.7933285236358643,1.4759716987609863
STS-PredNet,1,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,2221,15,0.9219664931297302,1.6912199258804321
STS-PredNet,1,T6_only,2026-07-03T18:39Z,2026-07-06T08:38Z,2221,60,1.2137821912765503,2.0733044147491455
