model,seed,status,row_count
autoformer_csa,40,available,600
autoformer_csa,41,available,600
autoformer_csa,42,available,600
autoformer_csa,43,available,600
autoformer_csa,44,available,600
linearar2d,40,available,600
linearar2d,41,available,600
linearar2d,42,available,600
linearar2d,43,available,600
linearar2d,44,available,600
residuallinearar2d,40,available,600
residuallinearar2d,41,available,600
residuallinearar2d,42,available,600
residuallinearar2d,43,missing,0
residuallinearar2d,44,missing,0
lstmattn,40,available,600
lstmattn,41,missing,0
lstmattn,42,available,600
lstmattn,43,available,600
lstmattn,44,available,600
residualvanillalstm,40,available,600
residualvanillalstm,41,available,600
residualvanillalstm,42,available,600
residualvanillalstm,43,available,600
residualvanillalstm,44,available,600
temporalconvnet,40,available,600
temporalconvnet,41,available,600
temporalconvnet,42,available,600
temporalconvnet,43,available,600
temporalconvnet,44,missing,0
vanillalstm,40,available,600
vanillalstm,41,available,600
vanillalstm,42,available,600
vanillalstm,43,available,600
vanillalstm,44,available,600
