representation,model,campaign_path,trial_id,seed,run_status,objective_name,objective,val_mean_horizon_mae_db,val_mae_db_t1,val_mae_db_t15,val_mae_db_t60,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_mae_db_t15,test_mae_db_t60,test_rmse_db_t1,test_rmse_db_t15,test_rmse_db_t60,training_time_seconds,ray_trial_time_seconds,checkpoint_path
2d,autoformer_csa,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa,c4acb_00000,40,completed,val_mean_horizon_mae_db,1.020668868177903,1.020668868177903,0.9481639640090023,0.9951374738733184,1.1187051666513885,0.9012020428975424,1.8539583683013916,0.8421000242233276,0.8812015652656555,0.9803045392036438,1.765143632888794,1.8227583169937132,1.9739731550216677,1780.24,1799.678765296936,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa/autoformer_csa-replicate/trainable_c4acb_00000_0_seed=40_2026-07-29_00-30-58/checkpoint_000001/checkpoints/powder_600_800_t4t6_autoformer_csa.pt
2d,autoformer_csa,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa,c4acb_00001,41,completed,val_mean_horizon_mae_db,1.018188163711762,1.018188163711762,0.9460824501794184,0.9915302777344489,1.1169517632214192,0.8991764187812805,1.8526039918263757,0.840060830116272,0.8779751658439636,0.979493260383606,1.764080047607422,1.8224064111709597,1.9713255167007449,1794.02,1813.423593044281,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa/autoformer_csa-replicate/trainable_c4acb_00001_1_seed=41_2026-07-29_00-30-58/checkpoint_000001/checkpoints/powder_600_800_t4t6_autoformer_csa.pt
2d,autoformer_csa,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa,c4acb_00002,42,completed,val_mean_horizon_mae_db,1.018411076639005,1.018411076639005,0.9559829992216824,0.9915566211116155,1.1076936095837178,0.900964081287384,1.8535070816675823,0.8513986468315125,0.8780439496040344,0.9734496474266052,1.7753376960754397,1.8225312232971191,1.962652325630188,0.0,16.84858751296997,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa/autoformer_csa-replicate/trainable_c4acb_00002_2_seed=42_2026-07-29_00-30-58/checkpoint_000000/checkpoints/powder_600_800_t4t6_autoformer_csa.pt
2d,autoformer_csa,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa,c4acb_00003,43,completed,val_mean_horizon_mae_db,1.0230946324043872,1.0230946324043872,0.9510391341620192,0.9980673188511061,1.120177444200037,0.9043016831080118,1.854991873105367,0.8449441194534302,0.8847392797470093,0.9832216501235962,1.7664332389831543,1.8239332437515257,1.974609136581421,2212.28,2232.038913011551,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa/autoformer_csa-replicate/trainable_c4acb_00003_3_seed=43_2026-07-29_00-30-58/checkpoint_000001/checkpoints/powder_600_800_t4t6_autoformer_csa.pt
2d,autoformer_csa,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa,c4acb_00004,44,completed,val_mean_horizon_mae_db,1.0186855337531344,1.0186855337531344,0.9458952840939333,0.9931000508980531,1.1170612662674169,0.8993544181187948,1.8527626991271973,0.8393351435661316,0.8794416785240173,0.9792864322662354,1.76289963722229,1.8236480951309204,1.9717403650283811,1684.98,1703.2058284282684,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/autoformer_csa/autoformer_csa-replicate/trainable_c4acb_00004_4_seed=44_2026-07-29_00-30-58/checkpoint_000001/checkpoints/powder_600_800_t4t6_autoformer_csa.pt
2d,linearar2d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d,c5dbe_00000,40,completed,val_mean_horizon_mae_db,0.9782853688591313,0.9782853688591313,0.8839300783529385,0.9588095347664135,1.0921164934580416,0.8697116176287333,1.808598518371582,0.7876482009887695,0.8520395159721375,0.969447135925293,1.700068116188049,1.7860255241394043,1.9397019147872925,508.22,526.8808693885803,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d/linearar2d-replicate/trainable_c5dbe_00000_0_seed=40_2026-07-29_00-31-00/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar2d.pt
2d,linearar2d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d,c5dbe_00001,41,completed,val_mean_horizon_mae_db,0.9777160679954126,0.9777160679954126,0.8838610351624105,0.9587054046007109,1.0905817642231166,0.8674091299374899,1.806837836901347,0.7871280908584595,0.8506355285644531,0.9644637703895568,1.6998772621154783,1.7853082418441772,1.9353280067443848,514.71,533.491183757782,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d/linearar2d-replicate/trainable_c5dbe_00001_1_seed=41_2026-07-29_00-31-00/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar2d.pt
2d,linearar2d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d,c5dbe_00002,42,completed,val_mean_horizon_mae_db,0.9792397153117838,0.9792397153117838,0.8840607672052915,0.9592705542626719,1.0943878244673877,0.8714850544929504,1.8084632555643718,0.7879597544670105,0.8530403971672058,0.973455011844635,1.700054407119751,1.7860368490219116,1.9392985105514529,0.0,19.094723224639893,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d/linearar2d-replicate/trainable_c5dbe_00002_2_seed=42_2026-07-29_00-31-00/checkpoint_000000/checkpoints/powder_600_800_t4t6_linearar2d.pt
2d,linearar2d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d,c5dbe_00003,43,completed,val_mean_horizon_mae_db,0.9778441522395965,0.9778441522395965,0.8835586380747993,0.9585083127942254,1.0914655058497647,0.8694336613019308,1.8073832591374714,0.7873495817184448,0.8517886400222778,0.9691627621650696,1.6998518705368042,1.7854539155960083,1.936843991279602,584.74,605.517213344574,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d/linearar2d-replicate/trainable_c5dbe_00003_3_seed=43_2026-07-29_00-31-00/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar2d.pt
2d,linearar2d,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d,c5dbe_00004,44,completed,val_mean_horizon_mae_db,0.9767274157703549,0.9767274157703549,0.8831453944900979,0.957586888927659,1.089449963893308,0.8677760362625122,1.8086434205373128,0.7869370579719543,0.8506043553352356,0.9657866954803468,1.7000954151153564,1.7862499952316284,1.9395848512649536,546.35,565.9136533737183,spectrum-usage/spectrum-usage/ray/production-20260729-replicate-v2/linearar2d/linearar2d-replicate/trainable_c5dbe_00004_4_seed=44_2026-07-29_00-31-00/checkpoint_000001/checkpoints/powder_600_800_t4t6_linearar2d.pt
