Training ConvLSTM for chunk_0_83 (0-82 MHz)
chunk_0_83 epoch 001/25 train_loss=0.251521 val_loss=1.177595 time=9.9s avg=9.9s eta=237s
chunk_0_83 epoch 002/25 train_loss=0.169419 val_loss=1.047047 time=9.3s avg=9.6s eta=221s
chunk_0_83 epoch 003/25 train_loss=0.141377 val_loss=191274833792379552.000000 time=9.4s avg=9.5s eta=210s
chunk_0_83 epoch 004/25 train_loss=0.128164 val_loss=1.367541 time=9.4s avg=9.5s eta=200s
chunk_0_83 epoch 005/25 train_loss=0.108896 val_loss=1.716158 time=9.4s avg=9.5s eta=189s
chunk_0_83 epoch 006/25 train_loss=0.100958 val_loss=1.374910 time=9.3s avg=9.4s eta=180s
chunk_0_83 epoch 007/25 train_loss=0.096040 val_loss=12.240836 time=9.3s avg=9.4s eta=170s
chunk_0_83 epoch 008/25 train_loss=0.085508 val_loss=2.083175 time=9.4s avg=9.4s eta=160s
chunk_0_83 epoch 009/25 train_loss=0.088754 val_loss=2.304845 time=9.3s avg=9.4s eta=151s
chunk_0_83 epoch 010/25 train_loss=0.083566 val_loss=3.071760 time=9.4s avg=9.4s eta=141s
chunk_0_83 epoch 011/25 train_loss=0.090442 val_loss=0.428054 time=9.3s avg=9.4s eta=132s
chunk_0_83 epoch 012/25 train_loss=0.084770 val_loss=0.611724 time=9.3s avg=9.4s eta=122s
chunk_0_83 epoch 013/25 train_loss=0.088736 val_loss=1869.522288 time=9.3s avg=9.4s eta=113s
chunk_0_83 epoch 014/25 train_loss=0.084579 val_loss=1.379268 time=9.4s avg=9.4s eta=103s
chunk_0_83 epoch 015/25 train_loss=0.086425 val_loss=5.373172 time=9.4s avg=9.4s eta=94s
chunk_0_83 epoch 016/25 train_loss=0.074060 val_loss=119.490016 time=9.4s avg=9.4s eta=84s
chunk_0_83 epoch 017/25 train_loss=0.078130 val_loss=0.998313 time=9.4s avg=9.4s eta=75s
chunk_0_83 epoch 018/25 train_loss=0.075269 val_loss=16.558169 time=9.4s avg=9.4s eta=66s
chunk_0_83 epoch 019/25 train_loss=0.078412 val_loss=2.548504 time=9.4s avg=9.4s eta=56s
chunk_0_83 epoch 020/25 train_loss=0.076752 val_loss=12.368568 time=9.4s avg=9.4s eta=47s
chunk_0_83 epoch 021/25 train_loss=0.076216 val_loss=0.794978 time=9.4s avg=9.4s eta=38s
chunk_0_83 epoch 022/25 train_loss=0.075615 val_loss=0.545319 time=9.4s avg=9.4s eta=28s
chunk_0_83 epoch 023/25 train_loss=0.071787 val_loss=11.693406 time=9.5s avg=9.4s eta=19s
chunk_0_83 epoch 024/25 train_loss=0.074633 val_loss=4.933610 time=9.4s avg=9.4s eta=9s
chunk_0_83 epoch 025/25 train_loss=0.070998 val_loss=3.814492 time=9.4s avg=9.4s eta=0s
Chunk chunk_0_83 done in 245.6s
Training ConvLSTM for chunk_83_165 (83-165 MHz)
chunk_83_165 epoch 001/25 train_loss=0.933423 val_loss=2.416000 time=9.4s avg=9.4s eta=225s
chunk_83_165 epoch 002/25 train_loss=0.242487 val_loss=1.911923 time=9.4s avg=9.4s eta=216s
chunk_83_165 epoch 003/25 train_loss=0.177057 val_loss=2.235456 time=9.4s avg=9.4s eta=207s
