Training ConvLSTM for chunk_0_82 (0-82 MHz)
chunk_0_82 epoch 001/25 train_loss=1.966357 val_loss=1.712689 time=9.5s avg=9.5s eta=227s
chunk_0_82 epoch 002/25 train_loss=0.507030 val_loss=0.804830 time=9.0s avg=9.2s eta=212s
chunk_0_82 epoch 003/25 train_loss=0.260339 val_loss=0.549650 time=9.0s avg=9.2s eta=202s
chunk_0_82 epoch 004/25 train_loss=0.210023 val_loss=0.583189 time=9.0s avg=9.1s eta=191s
chunk_0_82 epoch 005/25 train_loss=0.185866 val_loss=120743983579136.000000 time=9.0s avg=9.1s eta=182s
chunk_0_82 epoch 006/25 train_loss=0.163678 val_loss=108704158449664.000000 time=9.0s avg=9.1s eta=172s
chunk_0_82 epoch 007/25 train_loss=0.153162 val_loss=201348339466240.000000 time=8.9s avg=9.1s eta=163s
chunk_0_82 epoch 008/25 train_loss=0.140953 val_loss=0.464766 time=9.0s avg=9.1s eta=154s
chunk_0_82 epoch 009/25 train_loss=0.137654 val_loss=0.976579 time=9.1s avg=9.1s eta=145s
chunk_0_82 epoch 010/25 train_loss=0.128915 val_loss=18442747.166667 time=9.1s avg=9.1s eta=136s
chunk_0_82 epoch 011/25 train_loss=0.117932 val_loss=2.433291 time=9.1s avg=9.1s eta=127s
chunk_0_82 epoch 012/25 train_loss=0.105713 val_loss=2.734229 time=9.0s avg=9.1s eta=118s
chunk_0_82 epoch 013/25 train_loss=0.108989 val_loss=2.345582 time=9.1s avg=9.1s eta=109s
chunk_0_82 epoch 014/25 train_loss=0.095980 val_loss=0.531065 time=9.0s avg=9.1s eta=100s
chunk_0_82 epoch 015/25 train_loss=0.099398 val_loss=6027.236613 time=9.1s avg=9.1s eta=91s
chunk_0_82 epoch 016/25 train_loss=0.094402 val_loss=0.724900 time=9.0s avg=9.1s eta=82s
chunk_0_82 epoch 017/25 train_loss=0.092323 val_loss=8323775872.000000 time=8.9s avg=9.0s eta=72s
chunk_0_82 epoch 018/25 train_loss=0.087998 val_loss=0.428541 time=9.0s avg=9.0s eta=63s
chunk_0_82 epoch 019/25 train_loss=0.089605 val_loss=647113101761576960.000000 time=9.1s avg=9.0s eta=54s
chunk_0_82 epoch 020/25 train_loss=0.088180 val_loss=0.693096 time=9.0s avg=9.0s eta=45s
chunk_0_82 epoch 021/25 train_loss=0.089131 val_loss=2.607197 time=9.0s avg=9.0s eta=36s
chunk_0_82 epoch 022/25 train_loss=0.083352 val_loss=0.407114 time=9.0s avg=9.0s eta=27s
chunk_0_82 epoch 023/25 train_loss=0.085206 val_loss=0.856283 time=9.0s avg=9.0s eta=18s
chunk_0_82 epoch 024/25 train_loss=0.085749 val_loss=3.090795 time=9.0s avg=9.0s eta=9s
chunk_0_82 epoch 025/25 train_loss=0.084396 val_loss=55977444726101.335938 time=8.9s avg=9.0s eta=0s
Chunk chunk_0_82 done in 235.9s
Training ConvLSTM for chunk_83_165 (83-165 MHz)
chunk_83_165 epoch 001/25 train_loss=0.416761 val_loss=3.720662 time=8.9s avg=8.9s eta=215s
chunk_83_165 epoch 002/25 train_loss=0.216336 val_loss=8.988686 time=9.0s avg=9.0s eta=206s
chunk_83_165 epoch 003/25 train_loss=0.170395 val_loss=3.205741 time=9.0s avg=9.0s eta=198s
chunk_83_165 epoch 004/25 train_loss=0.141412 val_loss=4.900664 time=9.0s avg=9.0s eta=189s
