chunk_id,band_id,start_mhz,end_mhz,behavior_category,site,split,horizon,model,mae_db,rmse_db
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,1,vanillalstm,3.0943586826324463,4.427482604980469
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.03320710361003876,0.06465396285057068
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,1,vanillalstm,2.7101891040802,3.494025707244873
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.4855982065200806,1.9700862169265747
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,1,vanillalstm,2.466054677963257,3.1365315914154053
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.579606056213379,2.0955569744110107
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.060495775192976,0.22307172417640686
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.4144514799118042,1.8253425359725952
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,1,vanillalstm,1.5128180980682373,1.9377915859222412
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,1,vanillalstm,1.5596771240234375,1.9497863054275513
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,1,vanillalstm,1.111886739730835,1.6623424291610718
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,1,vanillalstm,2.0810694694519043,2.764756917953491
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,1,vanillalstm,0.9327034950256348,1.3290899991989136
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,1,vanillalstm,5.57742977142334,7.6757025718688965
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.021231522783637047,0.028897441923618317
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,1,vanillalstm,0.07247678935527802,0.09681772440671921
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,1,vanillalstm,0.03698448836803436,0.22065509855747223
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,5,vanillalstm,3.106884241104126,4.428835391998291
powder_600_800,region_02,608.5,621.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.03311453387141228,0.06462019681930542
powder_600_800,region_03,622.5,641.5,bursty_short_timescale,humanities,humanities_test,5,vanillalstm,2.7092456817626953,3.4699044227600098
powder_600_800,region_04,642.5,646.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.453329086303711,1.939207911491394
powder_600_800,region_05,647.5,655.5,diurnal_pattern,humanities,humanities_test,5,vanillalstm,2.484090566635132,3.164289951324463
powder_600_800,region_06,656.5,675.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.6634129285812378,2.1788792610168457
powder_600_800,region_07,676.5,690.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.06167101487517357,0.22410310804843903
powder_600_800,region_08,691.5,728.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.4468672275543213,1.8530420064926147
powder_600_800,region_09,729.5,734.5,mixed_activity,humanities,humanities_test,5,vanillalstm,1.50661039352417,1.921193242073059
powder_600_800,region_10,735.5,740.5,intermittent_occupancy,humanities,humanities_test,5,vanillalstm,1.5721349716186523,1.9663777351379395
powder_600_800,region_11,741.5,745.5,intermittent_occupancy,humanities,humanities_test,5,vanillalstm,1.1274324655532837,1.6514134407043457
powder_600_800,region_12,746.5,755.5,bursty_short_timescale,humanities,humanities_test,5,vanillalstm,2.066694736480713,2.7445690631866455
powder_600_800,region_13,756.5,768.5,diurnal_pattern,humanities,humanities_test,5,vanillalstm,0.9266235828399658,1.3108556270599365
powder_600_800,region_14,769.5,776.5,bursty_short_timescale,humanities,humanities_test,5,vanillalstm,5.580942630767822,7.684515476226807
powder_600_800,region_15,777.5,788.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.02141173742711544,0.029055804014205933
powder_600_800,region_16,789.5,794.5,mixed_activity,humanities,humanities_test,5,vanillalstm,0.07322674989700317,0.09740624576807022
powder_600_800,region_17,795.5,799.5,noise_floor,humanities,humanities_test,5,vanillalstm,0.03717688471078873,0.22068558633327484
powder_600_800,region_01,600.5,607.5,mixed_activity,humanities,humanities_test,15,vanillalstm,3.1810264587402344,4.490417957305908
