search_stage,trial_id,status,model_name,chunk_id,seed,hidden_size,num_layers,dropout,output_strategy,bidirectional,learning_rate,batch_size,weight_decay,optimizer,gradient_clip_norm,epochs_requested,epochs_completed,best_epoch,train_loss_at_best,teacher_val_loss_at_best,val_ar_loss,rmse_t1_db,rmse_t5_db,rmse_t15_db,rmse_t60_db,mean_horizon_rmse_db,mae_t1_db,mae_t5_db,mae_t15_db,mae_t60_db,mean_horizon_mae_db,training_seconds,validation_seconds,total_seconds,checkpoint_path,config_path,error_message
smoke,smoke_0001,completed,vanillalstm,powder_600_800,42,8,1,0.0,final_hidden,False,0.001,32,0.0,adam,1.0,5,5,5,0.6158506561369246,1.2926564726210732,1.379175251676836,2.22920013139671,2.31755485061741,2.36374092749408,2.4809903360092282,2.347871561379357,1.1967480334279308,1.2505735397851314,1.2940154840577145,1.4156043878407354,1.2892353612778782,54.57,0.11,54.68,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/smoke_0001_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/smoke_0001.yaml,
smoke,smoke_0002,completed,vanillalstm,powder_600_800,42,16,2,0.1,final_hidden,False,0.003,32,0.0001,adam,1.0,5,5,2,0.6098169223152529,1.2643966165207725,1.3805914962564716,2.2524206595386027,2.3155131907775135,2.3644985327824024,2.5083210846786135,2.360188366944283,1.2189399525625055,1.2731360349001501,1.3254399213960477,1.452147058495404,1.3174157418385268,79.62,0.12,79.74,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/smoke_0002_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/smoke_0002.yaml,
smoke,smoke_0003,completed,vanillalstm,powder_600_800,42,32,2,0.2,final_hidden,False,0.001,64,0.0001,adam,1.0,5,5,5,0.5929289119359945,1.2494718264077456,1.3790110486154339,2.2306562095245415,2.3150128766624594,2.3797422346172925,2.557231873342707,2.37066079853675,1.186065332587604,1.2386441314959449,1.302976762197651,1.4848382171264427,1.3031311108519106,39.45,0.06,39.51,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/smoke_0003_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/smoke_0003.yaml,
smoke,smoke_0004,completed,vanillalstm,powder_600_800,42,32,3,0.1,final_hidden,False,0.003,64,0.0,adam,1.0,5,5,3,0.5801002680918929,1.2845209172663798,1.4100061500345478,2.295289078527894,2.3563884973305296,2.4334491133560032,2.583932915776837,2.417264901247816,1.217051367240435,1.262867851174956,1.3264765589821552,1.4435814617355753,1.3124943097832804,49.57,0.07,49.64,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/smoke_0004_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/smoke_0004.yaml,
architecture,arch_0005,completed,vanillalstm,powder_600_800,42,8,1,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,12,9,0.5863734708367007,1.2411019092297737,1.3710191031448713,2.2117052040615226,2.295040302213754,2.352244713581416,2.5507831104100243,2.352443332566679,1.1788391885512457,1.2296572868513025,1.2817722134310898,1.4440645906728609,1.2835833198766247,129.05,0.1,129.15,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0005_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0005.yaml,
architecture,arch_0006,completed,vanillalstm,powder_600_800,42,8,2,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,7,4,0.6369828248762597,1.282547357428165,1.3539380863422656,2.2188117524906676,2.2978593289718403,2.3325428681546394,2.4493885361970182,2.3246506214535416,1.1969907238777764,1.2447004808177875,1.2682983101202283,1.3617543072763667,1.2679359555230398,106.68,0.12,106.8,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0006_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0006.yaml,
architecture,arch_0007,completed,vanillalstm,powder_600_800,42,8,2,0.1,final_hidden,False,0.001,32,0.0001,adam,1.0,15,8,5,0.644696416638658,1.3080766656016576,1.377253414110373,2.2675525977185873,2.34453941928801,2.37136543276434,2.487144612568035,2.367650515584743,1.225896056653052,1.2638148373005653,1.2839649418058097,1.374876769540936,1.2871381513250908,127.68,0.12,127.8,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0007_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0007.yaml,
architecture,arch_0008,completed,vanillalstm,powder_600_800,42,8,2,0.2,final_hidden,False,0.001,32,0.0001,adam,1.0,15,10,7,0.6632556487629409,1.2942310671769937,1.388857188115593,2.2586781877381177,2.343943896057022,2.4048191442660376,2.536627725038664,2.3860172382749605,1.2222351616469211,1.2790065409071678,1.3195758186369795,1.417129303159825,1.3094867060877233,160.2,0.12,160.32,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0008_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0008.yaml,
architecture,arch_0009,completed,vanillalstm,powder_600_800,42,8,3,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,7,4,0.649466302431349,1.3199182211897755,1.3697130243286832,2.3081750972885975,2.3699574743783263,2.3867803946150326,2.5081169010512436,2.3932574668332998,1.2525346577486054,1.2890490138635875,1.3042329659083143,1.3932089647571724,1.3097564005694198,134.67,0.13,134.8,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0009_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0009.yaml,
architecture,arch_0010,completed,vanillalstm,powder_600_800,42,8,3,0.1,final_hidden,False,0.001,32,0.0001,adam,1.0,15,9,6,0.6525375376034154,1.3456056955206486,1.3918875210157788,2.317232207394862,2.3751393015136655,2.3783059111212936,2.5266940699328875,2.399342872490677,1.2448087475101537,1.2804169573586706,1.2931248267027176,1.4150542638692365,1.3083511988601946,181.38,0.13,181.5,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0010_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/arch_0010.yaml,
