hyperparameter,value,num_trials,mean_rmse,std_rmse,median_rmse,min_rmse,max_rmse
hidden_size,8.0,8,2.3712,0.0276,2.3768,2.3247,2.3993
hidden_size,16.0,20,2.3634,0.0290,2.3603,2.3143,2.4228
hidden_size,32.0,21,2.3642,0.0252,2.3695,2.3223,2.4173
num_layers,1.0,28,2.3536,0.0206,2.3524,2.3143,2.3998
num_layers,2.0,11,2.3662,0.0298,2.3677,2.3247,2.4228
num_layers,3.0,10,2.3957,0.0099,2.3929,2.3848,2.4173
dropout,0.0,34,2.3586,0.0258,2.3566,2.3143,2.4228
dropout,0.1,8,2.3811,0.0277,2.3870,2.3297,2.4173
dropout,0.2,7,2.3775,0.0204,2.3848,2.3372,2.3985
learning_rate,0.0005,8,2.3572,0.0202,2.3688,2.3272,2.3757
learning_rate,0.001,31,2.3707,0.0278,2.3727,2.3143,2.4228
learning_rate,0.003,10,2.3536,0.0250,2.3474,2.3302,2.4173
batch_size,32.0,35,2.3686,0.0277,2.3727,2.3143,2.4228
batch_size,64.0,14,2.3560,0.0228,2.3539,2.3272,2.4173
weight_decay,0.0,14,2.3618,0.0239,2.3598,2.3272,2.4173
weight_decay,0.0001,35,2.3663,0.0281,2.3680,2.3143,2.4228
