rank,trial_id,hidden_size,num_layers,dropout,learning_rate,batch_size,weight_decay,optimizer,best_epoch,rmse_t1_db,rmse_t5_db,rmse_t15_db,rmse_t60_db,mean_horizon_rmse_db,mean_horizon_mae_db,total_seconds,checkpoint_path
1,arch_0012,16,1,0.0,0.001,32,0.0001,adam,3,2.1883035020132557,2.277929328605935,2.3210741872193528,2.469864161039413,2.3142927947194893,1.2449373977224414,64.87,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0012_best.pt
2,arch_0019,32,1,0.0,0.001,32,0.0001,adam,2,2.1974711908556923,2.2840323967740788,2.333053394469483,2.47468344891403,2.322310107753321,1.257563049370747,54.16,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0019_best.pt
3,arch_0006,8,2,0.0,0.001,32,0.0001,adam,4,2.218811752490668,2.2978593289718403,2.3325428681546394,2.4493885361970182,2.3246506214535416,1.2679359555230398,106.8,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0006_best.pt
4,opt_0028,16,1,0.0,0.0005,64,0.0,adam,9,2.21247429028761,2.28754791443946,2.336084159524721,2.472698150332014,2.3272011286459517,1.261534110523487,66.06,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0028_best.pt
5,arch_0021,32,2,0.1,0.001,32,0.0001,adam,2,2.1817152631524674,2.278420952405072,2.3455345079552603,2.513002427871165,2.329668287845991,1.2685785233267757,79.22,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0021_best.pt
6,opt_0037,16,1,0.0,0.003,64,0.0001,adam,3,2.198032591543021,2.288257615768833,2.347706224467278,2.486808639689156,2.3302012678670723,1.271109985269184,33.19,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0037_best.pt
7,opt_0027,16,1,0.0,0.0005,32,0.0001,adam,4,2.203989956815309,2.2840555847849973,2.3432831063025827,2.492111221195417,2.3308599672745767,1.2627210941362332,75.84,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0027_best.pt
8,opt_0046,32,1,0.0,0.003,32,0.0,adam,1,2.1849144448760005,2.2969463785634594,2.3660033901123856,2.48056326516113,2.332106869678244,1.2707922841370494,44.81,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0046_best.pt
9,arch_0015,16,2,0.2,0.001,32,0.0001,adam,5,2.2363799870709755,2.3084156740471307,2.3627668463352083,2.441383856277136,2.337236590932613,1.2724180225407136,127.7,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/arch_0015_best.pt
10,opt_0049,32,1,0.0,0.003,64,0.0001,adam,2,2.216556710784276,2.3011843006640498,2.386109828785117,2.4595239612984985,2.3408437003829854,1.2830193507274512,28.37,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0049_best.pt
